Description:                  Land area not permanently under water.  Source: Natural Resources Conservation Service of the U.S. Dept. of Agriculture.
Holding name:                 Land Area
Collection name:              US County Data
Date class:                   snapshot
Begin date of output:         N/A
End date of output:           N/A
Time step units:              snapshot
Data units:                   N/A,N/A,N/A,km^2
Fill value:                   N/A,N/A,N/A,-9999

FIPS,State,County,Land Area
29109,Missouri,Lawrence,1588.0
29111,Missouri,Lewis,1308.1
29113,Missouri,Lincoln,1633.0
29115,Missouri,Linn,1606.8
29117,Missouri,Livingston,1384.7
29121,Missouri,Macon,2081.9
29123,Missouri,Madison,1286.6
29125,Missouri,Maries,1367.0
29127,Missouri,Marion,1134.7
29119,Missouri,McDonald,1397.4
29129,Missouri,Mercer,1177.0
29131,Missouri,Miller,1534.0
29133,Missouri,Mississippi,1070.1
29135,Missouri,Moniteau,1078.8
29137,Missouri,Monroe,1673.2
29139,Missouri,Montgomery,1395.3
29141,Missouri,Morgan,1547.5
29143,Missouri,New Madrid,1756.2
29145,Missouri,Newton,1622.6
29147,Missouri,Nodaway,2270.6
29149,Missouri,Oregon,2049.9
29151,Missouri,Osage,1569.9
29153,Missouri,Ozark,1934.3
29155,Missouri,Pemiscot,1277.2
29157,Missouri,Perry,1229.5
29159,Missouri,Pettis,1774.2
29161,Missouri,Phelps,1742.8
29163,Missouri,Pike,1742.9
29165,Missouri,Platte,1088.8
29167,Missouri,Polk,1650.5
29169,Missouri,Pulaski,1416.9
29171,Missouri,Putnam,1341.5
29173,Missouri,Ralls,1220.0
29175,Missouri,Randolph,1249.5
29177,Missouri,Ray,1475.0
29179,Missouri,Reynolds,2101.1
29181,Missouri,Ripley,1630.4
29195,Missouri,Saline,1957.0
29197,Missouri,Schuyler,797.5
29199,Missouri,Scotland,1135.7
29201,Missouri,Scott,1090.5
29203,Missouri,Shannon,2600.1
29205,Missouri,Shelby,1297.4
29183,Missouri,St. Charles,1454.1
29185,Missouri,St. Clair,1752.7
29187,Missouri,St. Francois,1164.2
29189,Missouri,St. Louis,1315.1
29510,Missouri,St. Louis (city),160.4
29186,Missouri,Ste. Genevieve,1301.3
29207,Missouri,Stoddard,2142.4
29209,Missouri,Stone,1199.9
29211,Missouri,Sullivan,1686.1
29213,Missouri,Taney,1638.0
29215,Missouri,Texas,3052.7
29217,Missouri,Vernon,2160.1
29219,Missouri,Warren,1118.1
29221,Missouri,Washington,1968.0
29223,Missouri,Wayne,1971.2
29225,Missouri,Webster,1536.9
29227,Missouri,Worth,690.3
29229,Missouri,Wright,1767.3
30001,Montana,Beaverhead,14355.4
30003,Montana,Big Horn,12936.7
30005,Montana,Blaine,10946.0
30007,Montana,Broadwater,3085.9
30009,Montana,Carbon,5304.5
30011,Montana,Carter,8649.8
30013,Montana,Cascade,6987.9
30015,Montana,Chouteau,10291.2
30017,Montana,Custer,9798.7
30019,Montana,Daniels,3693.7
30021,Montana,Dawson,6146.8
30023,Montana,Deer Lodge,1908.7
30025,Montana,Fallon,4196.8
30027,Montana,Fergus,11238.8
30029,Montana,Flathead,13205.4
30031,Montana,Gallatin,6492.8
30033,Montana,Garfield,12090.6
30035,Montana,Glacier,7756.4
30037,Montana,Golden Valley,3044.1
30039,Montana,Granite,4474.3
30041,Montana,Hill,7501.6
30043,Montana,Jefferson,4290.9
30045,Montana,Judith Basin,4843.0
30047,Montana,Lake,3869.0
30049,Montana,Lewis and Clark,8964.1
30051,Montana,Liberty,3703.2
30053,Montana,Lincoln,9357.1
30057,Montana,Madison,9289.4
30055,Montana,McCone,6844.3
30059,Montana,Meagher,6194.9
30061,Montana,Mineral,3159.5
30063,Montana,Missoula,6729.4
30065,Montana,Musselshell,4836.0
30067,Montana,Park,6879.5
30069,Montana,Petroleum,4283.7
30071,Montana,Phillips,13312.3
30073,Montana,Pondera,4207.9
30075,Montana,Powder River,8539.9
30077,Montana,Powell,6024.3
30079,Montana,Prairie,4497.8
30081,Montana,Ravalli,6201.2
30083,Montana,Richland,5398.0
30085,Montana,Roosevelt,6101.1
30087,Montana,Rosebud,12982.1
30089,Montana,Sanders,7154.3
30091,Montana,Sheridan,4342.5
30093,Montana,Silver Bow,1860.5
30095,Montana,Stillwater,4648.4
30097,Montana,Sweet Grass,4804.9
30099,Montana,Teton,5886.0
30101,Montana,Toole,4949.3
30103,Montana,Treasure,2535.4
30105,Montana,Valley,12745.2
30107,Montana,Wheatland,3686.0
30109,Montana,Wibaux,2303.4
30111,Montana,Yellowstone,6825.2
30113,Montana,Yellowstone National,635.6
31001,Nebraska,Adams,1459.3
31003,Nebraska,Antelope,2220.0
31005,Nebraska,Arthur,1852.9
31007,Nebraska,Banner,1932.9
31009,Nebraska,Blaine,1841.0
31011,Nebraska,Boone,1778.7
31013,Nebraska,Box Butte,2785.2
31015,Nebraska,Boyd,1398.8
31017,Nebraska,Brown,3163.3
31019,Nebraska,Buffalo,2507.3
31021,Nebraska,Burt,1276.3
31023,Nebraska,Butler,1511.6
31025,Nebraska,Cass,1448.6
31027,Nebraska,Cedar,1917.3
31029,Nebraska,Chase,2316.8
31031,Nebraska,Cherry,15438.3
31033,Nebraska,Cheyenne,3098.8
31035,Nebraska,Clay,1484.2
31037,Nebraska,Colfax,1070.1
31039,Nebraska,Cuming,1481.6
31041,Nebraska,Custer,6671.4
31043,Nebraska,Dakota,683.7
31045,Nebraska,Dawes,3616.4
31047,Nebraska,Dawson,2623.5
31049,Nebraska,Deuel,1139.4
31051,Nebraska,Dixon,1233.9
31053,Nebraska,Dodge,1384.3
31055,Nebraska,Douglas,857.4
31057,Nebraska,Dundy,2382.6
31059,Nebraska,Fillmore,1493.1
31061,Nebraska,Franklin,1491.7
31063,Nebraska,Frontier,2524.2
31065,Nebraska,Furnas,1859.9
31067,Nebraska,Gage,2215.3
31069,Nebraska,Garden,4414.8
31071,Nebraska,Garfield,1476.4
31073,Nebraska,Gosper,1186.7
31075,Nebraska,Grant,2010.5
31077,Nebraska,Greeley,1476.0
31079,Nebraska,Hall,1415.3
31081,Nebraska,Hamilton,1408.1
31083,Nebraska,Harlan,1431.7
31085,Nebraska,Hayes,1847.1
31087,Nebraska,Hitchcock,1839.1
31089,Nebraska,Holt,6249.2
31091,Nebraska,Hooker,1867.9
31093,Nebraska,Howard,1475.0
31095,Nebraska,Jefferson,1484.2
31097,Nebraska,Johnson,974.3
31099,Nebraska,Kearney,1336.6
31101,Nebraska,Keith,2748.9
31103,Nebraska,Keya Paha,2002.9
31105,Nebraska,Kimball,2465.1
31107,Nebraska,Knox,2870.3
31109,Nebraska,Lancaster,2172.7
31111,Nebraska,Lincoln,6641.2
31113,Nebraska,Logan,1478.1
31115,Nebraska,Loup,1475.6
31119,Nebraska,Madison,1483.1
31117,Nebraska,McPherson,2224.9
31121,Nebraska,Merrick,1255.2
31123,Nebraska,Morrill,3687.8
31125,Nebraska,Nance,1143.1
31127,Nebraska,Nemaha,1060.1
31129,Nebraska,Nuckolls,1490.1
31131,Nebraska,Otoe,1595.1
31133,Nebraska,Pawnee,1118.1
31135,Nebraska,Perkins,2287.4
31137,Nebraska,Phelps,1398.6
31139,Nebraska,Pierce,1486.6
31141,Nebraska,Platte,1756.2
31143,Nebraska,Polk,1137.3
31145,Nebraska,Red Willow,1856.2
31147,Nebraska,Richardson,1433.5
31149,Nebraska,Rock,2612.0
31151,Nebraska,Saline,1490.2
31153,Nebraska,Sarpy,623.3
31155,Nebraska,Saunders,1953.0
31157,Nebraska,Scotts Bluff,1914.9
31159,Nebraska,Seward,1488.7
31161,Nebraska,Sheridan,6322.7
31163,Nebraska,Sherman,1465.6
31165,Nebraska,Sioux,5352.7
31167,Nebraska,Stanton,1113.3
31169,Nebraska,Thayer,1488.2
31171,Nebraska,Thomas,1846.4
31173,Nebraska,Thurston,1020.0
31175,Nebraska,Valley,1471.5
31177,Nebraska,Washington,1011.4
31179,Nebraska,Wayne,1148.6
31181,Nebraska,Webster,1489.0
31183,Nebraska,Wheeler,1489.8
31185,Nebraska,York,1491.0
32510,Nevada,Carson City,371.8
32001,Nevada,Churchill,12767.0
32003,Nevada,Clark,20488.7
32005,Nevada,Douglas,1838.6
32007,Nevada,Elko,44500.2
32009,Nevada,Esmeralda,9294.7
32011,Nevada,Eureka,10815.8
32013,Nevada,Humboldt,24989.5
32015,Nevada,Lander,14228.9
32017,Nevada,Lincoln,27543.8
32019,Nevada,Lyon,5163.9
32021,Nevada,Mineral,9729.6
32023,Nevada,Nye,47001.4
32027,Nevada,Pershing,15563.6
32029,Nevada,Storey,682.4
32031,Nevada,Washoe,16427.0
32033,Nevada,White Pine,22990.3
33001,New Hampshire,Belknap,1039.4
33003,New Hampshire,Carroll,2418.8
33005,New Hampshire,Cheshire,1832.4
33007,New Hampshire,Coos,4663.7
33009,New Hampshire,Grafton,4438.0
33011,New Hampshire,Hillsborough,2270.1
33013,New Hampshire,Merrimack,2420.4
33015,New Hampshire,Rockingham,1800.7
33017,New Hampshire,Strafford,955.3
33019,New Hampshire,Sullivan,1392.0
34001,New Jersey,Atlantic,1453.4
34003,New Jersey,Bergen,606.6
34005,New Jersey,Burlington,2084.4
34007,New Jersey,Camden,575.8
34009,New Jersey,Cape May,661.0
34011,New Jersey,Cumberland,1267.3
34013,New Jersey,Essex,327.1
34015,New Jersey,Gloucester,841.4
34017,New Jersey,Hudson,120.8
34019,New Jersey,Hunterdon,1113.9
34021,New Jersey,Mercer,585.2
34023,New Jersey,Middlesex,804.5
34025,New Jersey,Monmouth,1222.1
34027,New Jersey,Morris,1214.9
34029,New Jersey,Ocean,1648.1
34031,New Jersey,Passaic,479.3
34033,New Jersey,Salem,875.0
34035,New Jersey,Somerset,789.2
34037,New Jersey,Sussex,1350.0
34039,New Jersey,Union,267.5
34041,New Jersey,Warren,927.0
35001,New Mexico,Bernalillo,3020.4
35003,New Mexico,Catron,17944.2
35005,New Mexico,Chaves,15724.9
35006,New Mexico,Cibola,11757.5
35007,New Mexico,Colfax,9730.4
35009,New Mexico,Curry,3641.7
35011,New Mexico,DeBaca,6021.9
35013,New Mexico,Dona Ana,9861.3
35015,New Mexico,Eddy,10832.0
35017,New Mexico,Grant,10272.4
35019,New Mexico,Guadalupe,7849.3
35021,New Mexico,Harding,5505.0
35023,New Mexico,Hidalgo,8924.9
35025,New Mexico,Lea,11378.6
35027,New Mexico,Lincoln,12513.4
35028,New Mexico,Los Alamos,283.2
35029,New Mexico,Luna,7680.2
35031,New Mexico,McKinley,14113.2
35033,New Mexico,Mora,5001.9
35035,New Mexico,Otero,17163.8
35037,New Mexico,Quay,7446.5
35039,New Mexico,Rio Arriba,15172.4
35041,New Mexico,Roosevelt,6342.1
35045,New Mexico,San Juan,14282.3
35047,New Mexico,San Miguel,12218.1
35043,New Mexico,Sandoval,9608.0
35049,New Mexico,Santa Fe,4945.2
35051,New Mexico,Sierra,10827.5
35053,New Mexico,Socorro,17215.9
35055,New Mexico,Taos,5706.6
35057,New Mexico,Torrance,8663.8
35059,New Mexico,Union,9920.3
35061,New Mexico,Valencia,2765.2
36001,New York,Albany,1356.6
36003,New York,Allegany,2668.4
36005,New York,Bronx,108.9
36007,New York,Broome,1830.8
36009,New York,Cattaraugus,3392.7
36011,New York,Cayuga,1795.6
36013,New York,Chautauqua,2751.0
36015,New York,Chemung,1057.2
36017,New York,Chenango,2316.5
36019,New York,Clinton,2692.1
36021,New York,Columbia,1646.7
36023,New York,Cortland,1294.2
36025,New York,Delaware,3746.3
36027,New York,Dutchess,2076.3
36029,New York,Erie,2705.7
36031,New York,Essex,4654.1
36033,New York,Franklin,4225.9
36035,New York,Fulton,1285.1
36037,New York,Genesee,1279.8
36039,New York,Greene,1677.9
36041,New York,Hamilton,4456.6
36043,New York,Herkimer,3656.7
36045,New York,Jefferson,3295.3
36047,New York,Kings,182.7
36049,New York,Lewis,3303.7
36051,New York,Livingston,1637.3
36053,New York,Madison,1698.7
36055,New York,Monroe,1707.6
36057,New York,Montgomery,1048.5
36059,New York,Nassau,742.7
36061,New York,New York,73.5
36063,New York,Niagara,1354.5
36065,New York,Oneida,3141.0
36067,New York,Onondaga,2021.0
36069,New York,Ontario,1669.0
36071,New York,Orange,2114.4
36073,New York,Orleans,1013.8
36075,New York,Oswego,2469.1
36077,New York,Otsego,2597.6
36079,New York,Putnam,599.7
36081,New York,Queens,283.3
36083,New York,Rensselaer,1693.9
36085,New York,Richmond,151.8
36087,New York,Rockland,451.2
36091,New York,Saratoga,2102.8
36093,New York,Schenectady,533.9
36095,New York,Schoharie,1610.6
36097,New York,Schuyler,851.4
36099,New York,Seneca,841.6
36089,New York,St. Lawrence,6956.0
36101,New York,Steuben,3607.2
36103,New York,Suffolk,2360.1
36105,New York,Sullivan,2511.8
36107,New York,Tioga,1343.5
36109,New York,Tompkins,1233.0
36111,New York,Ulster,2917.8
36113,New York,Warren,2252.6
36115,New York,Washington,2164.0
36117,New York,Wayne,1565.0
36119,New York,Westchester,1121.2
36121,New York,Wyoming,1535.8
36123,New York,Yates,876.1
37001,North Carolina,Alamance,1115.5
37003,North Carolina,Alexander,674.2
37005,North Carolina,Alleghany,607.8
37007,North Carolina,Anson,1376.9
37009,North Carolina,Ashe,1103.8
37011,North Carolina,Avery,639.8
37013,North Carolina,Beaufort,2143.5
37015,North Carolina,Bertie,1811.0
37017,North Carolina,Bladen,2266.3
37019,North Carolina,Brunswick,2214.2
37021,North Carolina,Buncombe,1699.8
37023,North Carolina,Burke,1312.5
37025,North Carolina,Cabarrus,943.9
37027,North Carolina,Caldwell,1221.6
37029,North Carolina,Camden,623.4
37031,North Carolina,Carteret,1376.3
37033,North Carolina,Caswell,1102.6
37035,North Carolina,Catawba,1036.0
37037,North Carolina,Chatham,1769.2
37039,North Carolina,Cherokee,1179.0
37041,North Carolina,Chowan,447.1
37043,North Carolina,Clay,556.1
37045,North Carolina,Cleveland,1202.7
37047,North Carolina,Columbus,2426.4
37049,North Carolina,Craven,1801.5
37051,North Carolina,Cumberland,1691.6
37053,North Carolina,Currituck,677.8
37055,North Carolina,Dare,988.5
37057,North Carolina,Davidson,1430.3
37059,North Carolina,Davie,686.9
37061,North Carolina,Duplin,2118.2
37063,North Carolina,Durham,752.7
37065,North Carolina,Edgecombe,1308.1
37067,North Carolina,Forsyth,1061.0
37069,North Carolina,Franklin,1273.2
37071,North Carolina,Gaston,923.4
37073,North Carolina,Gates,882.2
37075,North Carolina,Graham,756.5
37077,North Carolina,Granville,1375.7
37079,North Carolina,Greene,687.5
37081,North Carolina,Guilford,1683.8
37083,North Carolina,Halifax,1878.9
37085,North Carolina,Harnett,1541.2
37087,North Carolina,Haywood,1434.6
37089,North Carolina,Henderson,968.3
37091,North Carolina,Hertford,916.0
37093,North Carolina,Hoke,1013.3
37095,North Carolina,Hyde,1587.2
37097,North Carolina,Iredell,1487.7
37099,North Carolina,Jackson,1270.6
37101,North Carolina,Johnston,2051.2
37103,North Carolina,Jones,1225.9
37105,North Carolina,Lee,666.4
37107,North Carolina,Lenoir,1035.7
37109,North Carolina,Lincoln,773.9
37113,North Carolina,Macon,1337.6
37115,North Carolina,Madison,1164.1
37117,North Carolina,Martin,1198.1
37111,North Carolina,McDowell,1144.0
37119,North Carolina,Mecklenburg,1366.0
37121,North Carolina,Mitchell,573.6
37123,North Carolina,Montgomery,1271.8
37125,North Carolina,Moore,1809.8
37127,North Carolina,Nash,1399.4
37129,North Carolina,New Hanover,515.3
37131,North Carolina,Northampton,1388.6
37133,North Carolina,Onslow,1986.2
37135,North Carolina,Orange,1035.5
37137,North Carolina,Pamlico,872.7
37139,North Carolina,Pasquotank,587.7
37141,North Carolina,Pender,2255.2
37143,North Carolina,Perquimans,640.2
37145,North Carolina,Person,1016.2
37147,North Carolina,Pitt,1687.7
37149,North Carolina,Polk,616.0
37151,North Carolina,Randolph,2039.5
37153,North Carolina,Richmond,1227.8
37155,North Carolina,Robeson,2457.7
37157,North Carolina,Rockingham,1467.2
37159,North Carolina,Rowan,1324.5
37161,North Carolina,Rutherford,1461.3
37163,North Carolina,Sampson,2448.9
37165,North Carolina,Scotland,826.6
37167,North Carolina,Stanly,1023.3
37169,North Carolina,Stokes,1170.3
37171,North Carolina,Surry,1389.7
37173,North Carolina,Swain,1367.9
37175,North Carolina,Transylvania,979.9
37177,North Carolina,Tyrrell,1009.9
37179,North Carolina,Union,1650.9
37181,North Carolina,Vance,656.7
37183,North Carolina,Wake,2159.8
37185,North Carolina,Warren,1110.5
37187,North Carolina,Washington,900.9
37189,North Carolina,Watauga,809.5
37191,North Carolina,Wayne,1431.2
37193,North Carolina,Wilkes,1961.2
37195,North Carolina,Wilson,961.1
37197,North Carolina,Yadkin,869.2
37199,North Carolina,Yancey,809.2
38001,North Dakota,Adams,2558.8
38003,North Dakota,Barnes,3863.7
38005,North Dakota,Benson,3596.4
38007,North Dakota,Billings,2982.4
38009,North Dakota,Bottineau,4321.9
38011,North Dakota,Bowman,3009.8
38013,North Dakota,Burke,2858.3
38015,North Dakota,Burleigh,4229.9
38017,North Dakota,Cass,4573.3
38019,North Dakota,Cavalier,3856.7
38021,North Dakota,Dickey,2929.5
38023,North Dakota,Divide,3261.9
38025,North Dakota,Dunn,5205.9
38027,North Dakota,Eddy,1637.1
38029,North Dakota,Emmons,3910.9
38031,North Dakota,Foster,1645.3
38033,North Dakota,Golden Valley,2595.2
38035,North Dakota,Grand Forks,3724.1
38037,North Dakota,Grant,4298.3
38039,North Dakota,Griggs,1835.1
38041,North Dakota,Hettinger,2932.7
38043,North Dakota,Kidder,3500.8
38045,North Dakota,LaMoure,2971.3
38047,North Dakota,Logan,2571.1
38049,North Dakota,McHenry,4854.2
38051,North Dakota,McIntosh,2526.0
38053,North Dakota,McKenzie,7102.2
38055,North Dakota,McLean,5466.0
38057,North Dakota,Mercer,2707.7
38059,North Dakota,Morton,4989.4
38061,North Dakota,Mountrail,4724.2
38063,North Dakota,Nelson,2542.6
38065,North Dakota,Oliver,1874.0
38067,North Dakota,Pembina,2897.7
38069,North Dakota,Pierce,2636.4
38071,North Dakota,Ramsey,3072.3
38073,North Dakota,Ransom,2234.6
38075,North Dakota,Renville,2265.7
38077,North Dakota,Richland,3721.6
38079,North Dakota,Rolette,2337.6
38081,North Dakota,Sargent,2224.3
38083,North Dakota,Sheridan,2517.0
38085,North Dakota,Sioux,2834.0
38087,North Dakota,Slope,3154.5
38089,North Dakota,Stark,3466.1
38091,North Dakota,Steele,1845.1
38093,North Dakota,Stutsman,5753.7
38095,North Dakota,Towner,2655.7
38097,North Dakota,Traill,2232.4
38099,North Dakota,Walsh,3320.4
38101,North Dakota,Ward,5213.6
38103,North Dakota,Wells,3292.8
38105,North Dakota,Williams,5362.7
39001,Ohio,Adams,1512.4
39003,Ohio,Allen,1047.6
39005,Ohio,Ashland,1099.2
39007,Ohio,Ashtabula,1820.0
39009,Ohio,Athens,1312.6
39011,Ohio,Auglaize,1039.3
39013,Ohio,Belmont,1391.6
39015,Ohio,Brown,1273.8
39017,Ohio,Butler,1210.3
39019,Ohio,Carroll,1022.2
39021,Ohio,Champaign,1110.1
39023,Ohio,Clark,1036.1
39025,Ohio,Clermont,1170.8
39027,Ohio,Clinton,1064.2
39029,Ohio,Columbiana,1379.3
39031,Ohio,Coshocton,1461.1
39033,Ohio,Crawford,1042.0
39035,Ohio,Cuyahoga,1186.9
39037,Ohio,Darke,1553.8
39039,Ohio,Defiance,1065.1
39041,Ohio,Delaware,1146.2
39043,Ohio,Erie,659.2
39045,Ohio,Fairfield,1309.9
39047,Ohio,Fayette,1053.1
39049,Ohio,Franklin,1398.5
39051,Ohio,Fulton,1053.7
39053,Ohio,Gallia,1214.2
39055,Ohio,Geauga,1046.7
39057,Ohio,Greene,1074.6
39059,Ohio,Guernsey,1352.1
39061,Ohio,Hamilton,1055.1
39063,Ohio,Hancock,1376.3
39065,Ohio,Hardin,1218.1
39067,Ohio,Harrison,1045.2
39069,Ohio,Henry,1078.8
39071,Ohio,Highland,1433.1
39073,Ohio,Hocking,1095.0
39075,Ohio,Holmes,1095.6
39077,Ohio,Huron,1277.1
39079,Ohio,Jackson,1088.6
39081,Ohio,Jefferson,1061.0
39083,Ohio,Knox,1365.3
39085,Ohio,Lake,591.1
39087,Ohio,Lawrence,1179.6
39089,Ohio,Licking,1778.1
39091,Ohio,Logan,1187.5
39093,Ohio,Lorain,1275.8
39095,Ohio,Lucas,881.6
39097,Ohio,Madison,1205.0
39099,Ohio,Mahoning,1075.6
39101,Ohio,Marion,1046.0
39103,Ohio,Medina,1091.8
39105,Ohio,Meigs,1112.3
39107,Ohio,Mercer,1199.9
39109,Ohio,Miami,1054.2
39111,Ohio,Monroe,1179.9
39113,Ohio,Montgomery,1195.8
39115,Ohio,Morgan,1081.8
39117,Ohio,Morrow,1050.4
39119,Ohio,Muskingum,1721.4
39121,Ohio,Noble,1033.5
39123,Ohio,Ottawa,660.7
39125,Ohio,Paulding,1078.2
39127,Ohio,Perry,1062.0
39129,Ohio,Pickaway,1300.6
39131,Ohio,Pike,1143.5
39133,Ohio,Portage,1275.4
39135,Ohio,Preble,1100.3
39137,Ohio,Putnam,1253.3
39139,Ohio,Richland,1287.3
39141,Ohio,Ross,1783.1
39143,Ohio,Sandusky,1059.8
39145,Ohio,Scioto,1585.9
39147,Ohio,Seneca,1426.1
39149,Ohio,Shelby,1060.1
39151,Ohio,Stark,1492.3
39153,Ohio,Summit,1069.2
39155,Ohio,Trumbull,1595.0
39157,Ohio,Tuscarawas,1470.2
39159,Ohio,Union,1131.0
39161,Ohio,Van Wert,1062.2
39163,Ohio,Vinton,1072.5
39165,Ohio,Warren,1035.7
39167,Ohio,Washington,1645.3
39169,Ohio,Wayne,1438.5
39171,Ohio,Williams,1092.4
39173,Ohio,Wood,1599.0
39175,Ohio,Wyandot,1050.6
40001,Oklahoma,Adair,1491.1
40003,Oklahoma,Alfalfa,2244.8
40005,Oklahoma,Atoka,2534.0
40007,Oklahoma,Beaver,4699.5
40009,Oklahoma,Beckham,2335.9
40011,Oklahoma,Blaine,2405.0
40013,Oklahoma,Bryan,2353.9
40015,Oklahoma,Caddo,3311.1
40017,Oklahoma,Canadian,2330.7
40019,Oklahoma,Carter,2133.8
40021,Oklahoma,Cherokee,1945.3
40023,Oklahoma,Choctaw,2004.6
40025,Oklahoma,Cimarron,4753.0
40027,Oklahoma,Cleveland,1388.7
40029,Oklahoma,Coal,1342.3
40031,Oklahoma,Comanche,2769.8
40033,Oklahoma,Cotton,1649.0
40035,Oklahoma,Craig,1971.2
40037,Oklahoma,Creek,2475.0
40039,Oklahoma,Custer,2555.2
40041,Oklahoma,Delaware,1918.5
40043,Oklahoma,Dewey,2590.6
40045,Oklahoma,Ellis,3183.7
40047,Oklahoma,Garfield,2741.5
40049,Oklahoma,Garvin,2095.7
40051,Oklahoma,Grady,2851.7
40053,Oklahoma,Grant,2591.6
40055,Oklahoma,Greer,1656.1
40057,Oklahoma,Harmon,1393.1
40059,Oklahoma,Harper,2691.2
40061,Oklahoma,Haskell,1494.6
40063,Oklahoma,Hughes,2089.6
40065,Oklahoma,Jackson,2079.1
40067,Oklahoma,Jefferson,1965.5
40069,Oklahoma,Johnston,1669.4
40071,Oklahoma,Kay,2379.7
40073,Oklahoma,Kingfisher,2338.9
40075,Oklahoma,Kiowa,2628.0
40077,Oklahoma,Latimer,1870.5
40079,Oklahoma,Le Flore,4107.8
40081,Oklahoma,Lincoln,2482.9
40083,Oklahoma,Logan,1928.6
40085,Oklahoma,Love,1335.0
40093,Oklahoma,Major,2478.2
40095,Oklahoma,Marshall,961.2
40097,Oklahoma,Mayes,1699.5
40087,Oklahoma,McClain,1475.5
40089,Oklahoma,McCurtain,4797.7
40091,Oklahoma,McIntosh,1605.9
40099,Oklahoma,Murray,1083.5
40101,Oklahoma,Muskogee,2107.9
40103,Oklahoma,Noble,1895.8
40105,Oklahoma,Nowata,1463.3
40107,Oklahoma,Okfuskee,1618.2
40109,Oklahoma,Oklahoma,1836.7
40111,Oklahoma,Okmulgee,1805.3
40113,Oklahoma,Osage,5830.0
40115,Oklahoma,Ottawa,1220.8
40117,Oklahoma,Pawnee,1475.0
40119,Oklahoma,Payne,1777.8
40121,Oklahoma,Pittsburg,3382.6
40123,Oklahoma,Pontotoc,1864.0
40125,Oklahoma,Pottawatomie,2040.6
40127,Oklahoma,Pushmataha,3619.2
40129,Oklahoma,Roger Mills,2957.6
40131,Oklahoma,Rogers,1748.2
40133,Oklahoma,Seminole,1638.2
40135,Oklahoma,Sequoyah,1745.3
40137,Oklahoma,Stephens,2271.8
40139,Oklahoma,Texas,5276.6
40141,Oklahoma,Tillman,2259.5
40143,Oklahoma,Tulsa,1477.2
40145,Oklahoma,Wagoner,1458.3
40147,Oklahoma,Washington,1079.7
40149,Oklahoma,Washita,2599.0
40151,Oklahoma,Woods,3332.4
40153,Oklahoma,Woodward,3217.8
41001,Oregon,Baker,7946.9
41003,Oregon,Benton,1752.1
41005,Oregon,Clackamas,4838.9
41007,Oregon,Clatsop,2142.7
41009,Oregon,Columbia,1701.0
41011,Oregon,Coos,4145.4
41013,Oregon,Crook,7717.0
41015,Oregon,Curry,4215.0
41017,Oregon,Deschutes,7817.4
41019,Oregon,Douglas,13045.4
41021,Oregon,Gilliam,3118.7
41023,Oregon,Grant,11729.6
41025,Oregon,Harney,26249.4
41027,Oregon,Hood River,1353.0
41029,Oregon,Jackson,7214.1
41031,Oregon,Jefferson,4612.5
41033,Oregon,Josephine,4246.6
41035,Oregon,Klamath,15396.5
41037,Oregon,Lake,21073.1
41039,Oregon,Lane,11795.3
41041,Oregon,Lincoln,2537.3
41043,Oregon,Linn,5934.8
41045,Oregon,Malheur,25609.3
41047,Oregon,Marion,3069.1
41049,Oregon,Morrow,5265.1
41051,Oregon,Multnomah,1127.3
41053,Oregon,Polk,1919.4
41055,Oregon,Sherman,2132.3
41057,Oregon,Tillamook,2854.7
41059,Oregon,Umatilla,8327.7
41061,Oregon,Union,5275.0
41063,Oregon,Wallowa,8146.6
41065,Oregon,Wasco,6167.3
41067,Oregon,Washington,1874.6
41069,Oregon,Wheeler,4441.9
41071,Oregon,Yamhill,1853.4
42001,Pennsylvania,Adams,1346.9
42003,Pennsylvania,Allegheny,1891.3
42005,Pennsylvania,Armstrong,1693.8
42007,Pennsylvania,Beaver,1127.3
42009,Pennsylvania,Bedford,2627.8
42011,Pennsylvania,Berks,2225.4
42013,Pennsylvania,Blair,1362.0
42015,Pennsylvania,Bradford,2980.4
42017,Pennsylvania,Bucks,1573.8
42019,Pennsylvania,Butler,2042.4
42021,Pennsylvania,Cambria,1782.1
42023,Pennsylvania,Cameron,1028.7
42025,Pennsylvania,Carbon,990.8
42027,Pennsylvania,Centre,2868.7
42029,Pennsylvania,Chester,1958.1
42031,Pennsylvania,Clarion,1560.4
42033,Pennsylvania,Clearfield,2971.7
42035,Pennsylvania,Clinton,2307.4
42037,Pennsylvania,Columbia,1257.6
42039,Pennsylvania,Crawford,2623.4
42041,Pennsylvania,Cumberland,1425.0
42043,Pennsylvania,Dauphin,1360.6
42045,Pennsylvania,Delaware,477.1
42047,Pennsylvania,Elk,2146.3
42049,Pennsylvania,Erie,2077.2
42051,Pennsylvania,Fayette,2046.4
42053,Pennsylvania,Forest,1108.9
42055,Pennsylvania,Franklin,1999.4
42057,Pennsylvania,Fulton,1133.4
42059,Pennsylvania,Greene,1491.6
42061,Pennsylvania,Huntingdon,2267.2
42063,Pennsylvania,Indiana,2148.5
42065,Pennsylvania,Jefferson,1697.8
42067,Pennsylvania,Juniata,1014.3
42069,Pennsylvania,Lackawanna,1188.3
42071,Pennsylvania,Lancaster,2458.2
42073,Pennsylvania,Lawrence,933.7
42075,Pennsylvania,Lebanon,937.1
42077,Pennsylvania,Lehigh,897.9
